	filename	sentence_nr	sentence	matches	sentence_density	paragraph_density
451011	Sade_Aline	8736	-beaux yeux, cheveux châtains, les yeux bruns et très	5	0.555555555555556	0.04950495049505
305841	Mirabeau_Conversion	1429	Son beau corps svelte et flexible ;	3	0.5	0.039832285115304
75163	Cottin_Claire	1430	ma bouche avide pressait la tienne :	3	0.5	0.047619047619048
459307	Sade_Infortunes	1880	aux teintes livides de ses joues d'albâtre succédaient les roses du printemps ;	6	0.461538461538462	0.138461538461538
197554	Laclos_Liaisons	5441	Sa figure était abattue, sa voix faible et son maintien composé ;	5	0.454545454545454	0.048780487804878
355848	Retif_AntiJustine	726	» Elle s'attendrit, ses beaux grands yeux bleus devinrent humides ;	5	0.454545454545454	0.066006600660066
309748	Mirabeau_Rideau	2289	Ton sein, ta taille, tes fesses, tes cuisses, ta motte et ta peau, tout en fut un sujet pour moi:	9	0.45	0.127450980392157
105651	Diderot_Religieuse	4157	des lèvres vermeilles comme la rose, des dents blanches comme le lait, les plus belles joues, une tête fort agréable, enfoncée dans un oreiller profond et mollet ;	12	0.444444444444444	0.067622950819672
449933	Sade_Aline	7658	elle avait le nez fin, délicat et serré, les lèvres vermeilles et minces, la bouche petite et les plus belles dents qu’on pût voir.	11	0.44	0.045691906005222
139185	Fourqueux_Zely	948	Elle avait la taille haute, le visage long et maigre, le teint jaune, les yeux baissés.	7	0.4375	0.082089552238806
108349	Diderot_Supplement	820	Là, pour être belle, on exige un teint éclatant, un grand front, de grands yeux, les traits fins et délicats, une taille légère, une petite bouche, de petites mains, un petit pied...	14	0.4375	0.066225165562914
355042	Puttelange_Roi	1050	une voix séduisante, une taille svelte , une jambe fine, un pied petit, un braș rond, une main potelée, et une tourmure de gorge d'albâtre qui tient de la divinitě ?	13	0.433333333333333	0.085585585585586
329675	Nerciat_Etourdi	2113	des grands yeux d'un bleu foncé, des sourcils et des longues paupières noires, une bouche vermeille, de belles dents, un joli nez, des joues pleines et coloriées, un menton arrondi, des cheveux bien plantés ; voilà le visage qui desire trouver grâce devant vous.	19	0.431818181818182	0.117924528301887
3992	Anonyme_Etourdi	2113	des grands yeux d'un bleu foncé, des sourcils et des longues paupières noires, une bouche vermeille, de belles dents, un joli nez, des joues pleines et coloriées, un menton arrondi, des cheveux bien plantés ; voilà le visage qui desire trouver grâce devant vous.	19	0.431818181818182	0.117924528301887
247187	Lesuire_Crime	12425	“Ta voix pénétrera dans mon cœur;	3	0.428571428571429	0.214285714285714
402488	Rousseau_Emile	3148	Je vois un grand vilain bec ouvert;	3	0.428571428571429	0.083333333333333
381730	Riccoboni_LettresAdelaide	170	Sa figure est vraiment belle, noble, gracieuse;	3	0.428571428571429	0.054054054054054
305243	Mirabeau_Conversion	831	la voix meurt, la main s'arrête ;	3	0.428571428571429	0.081521739130435
49579	Bernardin_Paul	1306	de grands cheveux blonds ombrageaient sa tête ;	3	0.428571428571429	0.083526682134571
305264	Mirabeau_Conversion	852	la plus jolie bouche, un nez retroussé, un front trop petit, mais ombragé délicieusement ;	6	0.428571428571429	0.213333333333333
296272	Mercier_An	152	un teint blanc et des joues colorées.	3	0.428571428571429	0.107784431137725
74347	Cottin_Claire	614	ses yeux sont noirs, vifs et brillant ;	3	0.428571428571429	0.036777583187391
135721	Florian_Estelle	1836	ses mains tremblaient en pressant les miennes.	3	0.428571428571429	0.052083333333333
400390	Rousseau_Emile	1050	vous verriez ce grand corps, fort etamp;	3	0.428571428571429	0.048387096774194
